idx,name_roi,stiffness (N/micron),mean VM stress (N/cm2),DA,Radius a,Radius b,Radius c,m00,m01,m02,m10,m11,m12,m20,m21,m22,D1,D2,D3,Tb.Th Mean (µm),Tb.Th Std Dev (µm),Tb.Th Max (µm),Tb.Sp Mean (µm),Tb.Sp Std Dev (µm),Tb.Sp Max (µm),Euler char. (χ),Corr. Euler (χ + Δχ),Connectivity,Conn.D (µm⁻³),BV (micron³),TV (micron³),BV/TV,name_bone
375,Segmentation-grayscale-9_131-204_2,13.87081399,5.439821826,0.373173432,16.89183136,17.55768012,21.33551051,0.221149303,-0.955345445,-0.195979758,0.974995837,0.212087578,0.066347404,0.021819818,0.20575213,-0.978360852,0.002196817,0.003243887,0.003504665,416.5521783,218.2616276,1970.874268,1021.878945,439.821834,2891.052246,-6362,-6559.75,6560.75,1.80E-09,8.36E+11,3.65E+12,0.229406222,Segmentation-grayscale_131-204_2
157,Segmentation-grayscale-1_136-724,12.41478246,5.723821469,0.459979715,17.07590727,18.48458354,23.23693007,0.355831141,-0.931399676,-0.076673608,0.933022177,0.358741482,-0.027823845,-0.053421124,0.061637586,-0.996667944,0.001852006,0.002926717,0.003429513,365.1501909,102.2667147,888.5386353,1057.709713,420.2863968,3031.466797,-5585,-5951.25,5952.25,1.63E-09,7.69E+11,3.65E+12,0.210900963,Segmentation-grayscale_136-724
573,Segmentation-grayscale-10_136-724,20.46415203,4.331268853,0.466368341,17.38432352,18.08835487,23.79781049,0.438846676,-0.897071981,-0.051724814,0.898498116,0.437401673,0.037160615,0.010711226,0.06278246,-0.997969755,0.001765737,0.003056341,0.003308906,362.7517971,85.32727621,989.4348755,1041.889018,389.3820833,3106.922363,-5266,-5628.875,5629.875,1.54E-09,7.71E+11,3.65E+12,0.211478593,Segmentation-grayscale_136-724
113,Segmentation-grayscale-2_136-724,15.14946079,5.031144338,0.466979101,16.97474261,18.03892228,23.25043479,0.483853417,-0.873413208,-0.055093011,0.875127004,0.482434625,0.037544108,0.006212743,0.066379226,-0.997775125,0.001849856,0.003073115,0.003470512,357.916485,84.33268235,827.1844482,1031.487517,403.2264445,2998.296875,-5676,-6066.875,6067.875,1.66E-09,7.62E+11,3.65E+12,0.209043519,Segmentation-grayscale_136-724
516,Segmentation-grayscale-3_136-724,21.51148408,4.204342765,0.47286138,17.15726271,17.77367258,23.63118953,0.434852311,-0.899802136,-0.0354906,0.900299573,0.433581693,0.038309193,0.01908262,0.048611013,-0.998635481,0.001790725,0.003165524,0.003397066,363.7697114,85.31486442,1114.516968,1035.799227,396.9226709,3034.937012,-5433,-5812.875,5813.875,1.59E-09,7.89E+11,3.65E+12,0.216392778,Segmentation-grayscale_136-724
429,Segmentation-grayscale-4_136-724,18.26197162,4.651571037,0.496268301,17.68960759,18.86107264,24.92404683,0.591131212,-0.806214819,-0.024115481,0.806472617,0.590314318,0.033629219,0.012876662,0.039327756,-0.999143393,0.001609766,0.002811041,0.003195682,360.6561142,87.49943255,870.5865479,1075.773134,419.435067,3093.339844,-4891,-5281.75,5282.75,1.45E-09,7.34E+11,3.65E+12,0.201244407,Segmentation-grayscale_136-724
272,Segmentation-grayscale-5_136-724,15.66481305,5.051218303,0.497432487,18.06965701,19.48972919,25.48899449,0.305982695,-0.950595319,-0.052374892,0.952019416,0.305178584,0.02291427,0.005798502,0.056873284,-0.998364566,0.001539198,0.002632621,0.00306267,365.0428832,101.4567584,888.5386353,1107.232502,429.3861554,3033.202393,-4537,-4912.75,4913.75,1.35E-09,7.26E+11,3.65E+12,0.19905563,Segmentation-grayscale_136-724
179,Segmentation-grayscale-6_136-724,15.66481305,5.051218303,0.499817583,18.06285329,19.45019529,25.54007358,0.309334862,-0.949574939,-0.051179862,0.950926923,0.3084781,0.024067599,0.007066122,0.056113256,-0.998399405,0.001533048,0.002643334,0.003064978,365.0428832,101.4567584,888.5386353,1107.232502,429.3861554,3033.202393,-4537,-4912.75,4913.75,1.35E-09,7.26E+11,3.65E+12,0.19905563,Segmentation-grayscale_136-724
285,Segmentation-grayscale-7_136-724,18.48679563,4.573341128,0.470074037,17.20027556,18.2051095,23.62804589,0.309016225,-0.949042712,-0.061861965,0.951055848,0.308271135,0.021486775,0.001321609,0.065473946,-0.997853404,0.001791201,0.003017265,0.003380097,360.7179927,85.06213621,827.1844482,1042.031837,386.0638026,3057.399414,-5401,-5747.5,5748.5,1.58E-09,7.67E+11,3.65E+12,0.210319407,Segmentation-grayscale_136-724
604,Segmentation-grayscale-8_136-724,12.96741072,5.574667512,0.458162053,16.83157709,18.11548574,22.86599488,0.374760607,-0.923808851,-0.078305131,0.926455191,0.376354926,-0.006143947,-0.035146354,0.070243686,-0.996910507,0.001912581,0.003047193,0.003529802,365.0775857,99.25176368,967.9227905,1036.827973,403.0003738,3077.988037,-5848,-6213.5,6214.5,1.70E-09,7.82E+11,3.65E+12,0.214607741,Segmentation-grayscale_136-724
