idx,name_roi,min_angle_mil,inter_angle_mil,main_angle_mil,min eigenvalues_mil,inter eigenvalues_mil,main_eigenvalues_mil,main_angle_gst,inter_angle_gst,min_angle_gst,main_eigenvalues_gst,inter eigenvalues_gst,min eigenvalues_gst
548,Segmentation-grayscale-1_1241-67837-L45,76.23717878,85.5841398,14.4806112,0.001484991,0.002269115,0.002452044,74.66098147,86.39776569,18.8080004,645033.5,599877.9375,454170.0938
270,Segmentation-grayscale-10_1241-67837-L45,80.3813352,79.43724376,14.36139686,0.001634835,0.00299603,0.003226143,74.66098147,78.65166096,18.59684474,735853,702576.9375,466743.2813
64,Segmentation-grayscale-2_1241-67837-L45,77.74499958,82.90261155,14.21757735,0.001577447,0.00271756,0.002856769,74.66098147,84.27539215,18.39897058,696478.125,666121.875,460597.2188
260,Segmentation-grayscale-3_1241-67837-L45,77.65221744,83.32103353,14.08891181,0.001693243,0.00219644,0.002354641,74.66098147,83.03338492,17.42846056,625269.6875,581891.6875,495193.375
422,Segmentation-grayscale-4_1241-67837-L45,83.23684563,77.04642197,14.66775264,0.001156807,0.002427137,0.002620463,74.66098147,74.66915804,18.99129618,664762.4375,635200.4375,384726.3125
531,Segmentation-grayscale-5_1241-67837-L45,78.98853319,79.71472576,15.15689448,0.001514986,0.002682067,0.002857996,74.66098147,79.98315331,19.40164831,694976,661707.25,450548.9688
178,Segmentation-grayscale-6_1241-67837-L45,81.11578374,78.57080943,14.55039664,0.001507797,0.002825222,0.003005862,74.66098147,78.74987977,19.03924862,711287.5625,682263.0625,449192.375
653,Segmentation-grayscale-7_1241-67837-L45,84.63929827,76.42665786,14.63152437,0.001182626,0.002405013,0.002557353,74.66098147,73.90308471,19.199069,655033.375,631107.875,390742.2188
398,Segmentation-grayscale-8_1241-67837-L45,82.2320727,77.48740601,14.79477848,0.001383943,0.002799613,0.002979425,74.66098147,76.08963102,19.26171635,708920.875,681197.625,425624.5
596,Segmentation-grayscale-9_1241-67837-L45,87.12732178,74.92779901,15.35634667,0.000875922,0.002032299,0.00222262,74.66098147,71.11596496,19.51336623,613655.6875,581387.9375,328158.8438
68,Segmentation-grayscale-1_131-204,76.9786757,80.85119202,16.0076784,0.002040186,0.003561605,0.00389101,74.66098147,80.92049542,19.69232628,823782.75,759026.9375,525532.25
340,Segmentation-grayscale-10_131-204,75.39185461,80.72369938,17.41675508,0.002127385,0.003626405,0.003985267,74.66098147,80.47284767,21.97861014,839114.5,765090.9375,534657.5625
16,Segmentation-grayscale-2_131-204,78.84467525,79.76056571,15.23241963,0.002302112,0.003722924,0.00410235,74.66098147,79.04931431,19.47176299,844465.6875,774411.5,560052.625
261,Segmentation-grayscale-3_131-204,76.23584791,81.95758418,16.02230993,0.001993885,0.003508244,0.003811704,74.66098147,81.64778531,19.9667839,816458.25,753080.125,519660.8438
239,Segmentation-grayscale-4_131-204,75.90029673,80.97711469,16.84155213,0.002033871,0.003527014,0.003837063,74.66098147,81.23639795,20.64609481,820855.75,755534.25,524148.5313
370,Segmentation-grayscale-5_131-204,74.08000321,80.70871193,18.55920711,0.002208438,0.003689521,0.004075583,74.66098147,80.6767218,22.75214496,848975.8125,771958.5,546120.6875
298,Segmentation-grayscale-6_131-204,78.98653471,78.14677253,16.2908209,0.002274136,0.00358752,0.003980388,74.66098147,78.04025742,21.04456726,830771.5625,758853.5,555035
244,Segmentation-grayscale-7_131-204,80.11028159,81.40178074,13.16211224,0.002234309,0.003510931,0.003778596,74.66098147,80.76647944,16.43305834,800063.3125,747794.9375,558617.75
47,Segmentation-grayscale-8_131-204,76.79841668,81.29404024,15.90149018,0.002034901,0.003576147,0.003883591,74.66098147,81.02453755,20.01526231,824596.5,759973,525194.1875
588,Segmentation-grayscale-9_131-204,78.91891219,79.21756703,15.55805227,0.002313204,0.003591242,0.003990587,74.66098147,77.81906276,20.45040076,832987.5625,755622.375,563337.3125
488,Segmentation-grayscale-1_131-204_2,79.80487515,85.78491623,11.04939516,0.002261339,0.003513281,0.003729581,74.66098147,84.48817624,14.38309825,789506.375,754846.8125,558151.3125
10,Segmentation-grayscale-10_131-204_2,79.87438101,85.48679304,11.10535238,0.002162579,0.003563306,0.003680982,74.66098147,85.38245517,13.72940607,783170,764169.375,547797.625
63,Segmentation-grayscale-2_131-204_2,80.21875256,86.07544968,10.55362249,0.002151111,0.003438393,0.003646133,74.66098147,85.04358254,13.51953333,781296.375,748391.4375,546176.6875
374,Segmentation-grayscale-3_131-204_2,82.83884169,83.59965725,9.626986557,0.002287427,0.003722068,0.003916859,74.66098147,81.43464567,12.86354368,808528.75,776882.5625,563299.6875
314,Segmentation-grayscale-4_131-204_2,80.22018068,84.33931241,11.32793747,0.002301237,0.003679867,0.003842373,74.66098147,82.57595935,14.33536968,801902.0625,774891.875,564815.75
150,Segmentation-grayscale-5_131-204_2,80.19851651,88.55206594,9.90994811,0.001819335,0.002991784,0.003183437,74.66098147,89.40374803,12.65412084,731060.4375,698460.6875,502732.1563
267,Segmentation-grayscale-6_131-204_2,82.58180967,83.25018667,10.05515174,0.002448884,0.003941827,0.004139031,74.66098147,80.82842627,13.28333593,829410.875,797789.5625,579379.75
209,Segmentation-grayscale-7_131-204_2,80.2377862,87.40756468,10.10710256,0.001937919,0.003128743,0.003331102,74.66098147,87.44089267,12.99650841,746882.6875,714398.3125,518750.6875
208,Segmentation-grayscale-8_131-204_2,80.41275909,84.77168075,10.94392812,0.002372452,0.003854401,0.003994299,74.66098147,83.35489006,13.92875957,815081.4375,793004.625,570065.1875
375,Segmentation-grayscale-9_131-204_2,78.69803599,86.19577927,11.94109029,0.002196817,0.003243887,0.003504665,74.66098147,84.70446109,15.002286,761376.625,719082.5,552852.875
157,Segmentation-grayscale-1_136-724,85.60261007,88.40560535,4.678583788,0.001852006,0.002926717,0.003429513,74.66098147,89.58986925,5.922052961,762207.75,678602.5625,512175.6563
573,Segmentation-grayscale-10_136-724,87.03506337,87.87036326,3.651617964,0.001765737,0.003056341,0.003308906,74.66098147,86.30103899,5.227309755,743186.3125,699673.375,493378.0625
113,Segmentation-grayscale-2_136-724,86.84180397,87.84837539,3.822706778,0.001849856,0.003073115,0.003470512,74.66098147,86.16340492,5.533216048,763816.375,694884.375,507921.7188
516,Segmentation-grayscale-3_136-724,87.96611128,87.80450769,2.993483647,0.001790725,0.003165524,0.003397066,74.66098147,86.23489561,4.638569755,752466.0625,711766.8125,499875.0625
429,Segmentation-grayscale-4_136-724,88.61815076,88.07282432,2.371698731,0.001609766,0.002811041,0.003195682,74.66098147,86.41050025,4.205936671,732806.875,664086,471009.6563
272,Segmentation-grayscale-5_136-724,86.99776608,88.68699412,3.277278341,0.001539198,0.002632621,0.00306267,74.66098147,87.46450769,4.767523784,716969,646771.3125,462184.875
179,Segmentation-grayscale-6_136-724,87.06632823,88.62089499,3.242173619,0.001533048,0.002643334,0.003064978,74.66098147,87.46450769,4.767523784,716969,646771.3125,462184.875
285,Segmentation-grayscale-7_136-724,86.45330589,88.76880373,3.754832024,0.001791201,0.003017265,0.003380097,74.66098147,87.38162768,5.413595713,750848.875,695264.9375,498930.4688
604,Segmentation-grayscale-8_136-724,85.50884875,89.64797555,4.504982773,0.001912581,0.003047193,0.003529802,74.66098147,89.47380577,6.002144851,773580.6875,692178.875,518376.6875
25,Segmentation-grayscale-9_136-724,86.85072548,89.33699654,3.218445315,0.001502082,0.002523089,0.002988753,74.66098147,88.86313422,4.565916264,708475.1875,631054.25,457708.5938
345,Segmentation-grayscale-1_136-724_2,65.38859031,80.78730918,26.49856058,0.001791253,0.003055091,0.003163906,74.66098147,87.2626681,31.31737195,752476.0625,708740.8125,486532.125
615,Segmentation-grayscale-10_136-724_2,69.23947712,78.66866851,23.90846557,0.001114219,0.002003273,0.002351273,74.66098147,82.02922175,27.52333519,659339.8125,560439.75,375749.25
189,Segmentation-grayscale-2_136-724_2,67.03563797,78.09351636,26.1900247,0.00205742,0.003353982,0.003533699,74.66098147,85.7503528,29.95746333,790862.875,736052.25,525684.9375
644,Segmentation-grayscale-3_136-724_2,66.42123256,80.20687939,25.76433668,0.001902121,0.003256188,0.003445164,74.66098147,86.51127189,29.85359355,784657.125,728478.8125,503691.7813
78,Segmentation-grayscale-4_136-724_2,66.88180828,81.44982328,24.82421726,0.00172247,0.002907727,0.003061398,74.66098147,85.93373435,29.15635396,736767.25,686637.3125,480191.6875
148,Segmentation-grayscale-5_136-724_2,67.7253423,77.44150378,25.91161037,0.001963441,0.00338911,0.003552227,74.66098147,84.49773448,30.44397397,797570.4375,745170.4375,509417.875
233,Segmentation-grayscale-6_136-724_2,78.05205105,67.71783167,25.59477591,0.001968229,0.003218164,0.003431319,74.66098147,73.33058837,30.18681304,767523.6875,740091.5,514009.0938
101,Segmentation-grayscale-7_136-724_2,69.00664054,74.99672983,26.2316949,0.001938199,0.003342464,0.003518679,74.66098147,83.90832628,30.61731056,791609.4375,741470.875,506444.1875
612,Segmentation-grayscale-8_136-724_2,67.06416233,80.88829259,24.87544756,0.001372622,0.002413224,0.002671851,74.66098147,83.797002,28.3670619,695357.75,617080.3125,424211.1875
514,Segmentation-grayscale-9_136-724_2,68.00758113,76.66741676,26.09053808,0.001613825,0.002923107,0.0030476,74.66098147,85.63650634,30.27364269,738739.5625,695863.1875,459887.0313
663,Segmentation-grayscale-1_137-741,89.97220834,88.31924039,1.680989475,0.001404038,0.001643084,0.001666647,74.66098147,88.80164388,1.737312043,508004.25,505506.3125,455896.1875
161,Segmentation-grayscale-10_137-741,89.40947478,88.63286884,1.489261587,0.001260078,0.001500521,0.001510235,74.66098147,88.65814644,2.60781979,482133.625,480096.125,431716.5
618,Segmentation-grayscale-3_137-741,88.81690023,88.34657816,2.03329939,0.001346901,0.001531407,0.001637879,74.66098147,86.91113981,3.48851953,509298.9063,480241.875,443759.9688
619,Segmentation-grayscale-4_137-741,88.68178061,89.71671029,1.348326313,0.001460956,0.001694805,0.001735358,74.66098147,87.78883078,2.656454696,521639.9688,511263.7813,465094.4688
258,Segmentation-grayscale-5_137-741,87.99976097,89.08171681,2.201110109,0.001543801,0.001854877,0.001955935,74.66098147,89.37535745,4.009610804,561320.8125,536337.1875,472091.9375
134,Segmentation-grayscale-6_137-741,89.46621225,88.27296218,1.807695154,0.001419448,0.001674492,0.001689076,74.66098147,88.60928165,1.857304968,511987.5313,509451.8125,459810.9375
609,Segmentation-grayscale-7_137-741,89.96900848,89.75861211,0.243369274,0.001294595,0.001525406,0.001537557,74.66098147,88.36619115,2.615988342,486798.9688,485799.1875,436296.0938
265,Segmentation-grayscale-8_137-741,88.69042067,89.27791266,1.495523258,0.001265537,0.001493629,0.001513989,74.66098147,88.86831534,2.645970686,484728.75,479277.6875,432731.3125
